1,1,4.1 Understanding the organization and its context
2,1,4.2 Understanding the needs and expectations of interested parties
3,1,4.3 Determining the scope of the quality management system
4,1,4.4 Quality management system and its processes
5,2,5.1 Leadership and commitment
6,2,5.2 Policy
7,2,"5.3 Organizational roles, responsibilities and authorities"
8,3,6.1 Actions to address risks and opportunities
9,3,6.2 Quality objectives and planning to achieve them
10,3,6.3 Planning of changes
11,4,7.1 Resources
12,4,7.2 Competence
13,4,7.3 Awareness
14,4,7.4 Communication
15,4,7.5 Documented information
16,5,8.1 Operational planning and control
17,5,8.2 Requirements for products and services
18,5,8.3 Design and development of products and services
19,5,"8.4 Control of externally provided processes, products and services"
20,5,8.5 Production and service provision
21,5,8.6 Release of products and services
22,5,8.7 Control of nonconforming outputs
23,6,"9.1 Monitoring, measurement, analysis and evaluation"
24,6,9.2 Internal audit
25,6,9.3 Management review
26,7,10.1 General
27,7,10.2 Nonconformity and corrective action
28,7,10.3 Continual improvement